name speed peer
m_1 2.95 1
m_2 2.15 2
m_3 2.95 3
m_4 2.35 4
m_5 2.95 5
m_6 2.35 6
m_7 2.35 7
m_8 2.15 8
m_9 2.75 9
m_10 2.95 10
m_11 2.95 11
m_12 2.15 12
m_13 2.35 13
m_14 2.35 14
m_15 2.95 15
m_16 2.35 16
m_17 2.35 17
m_18 2.95 18
m_19 2.35 19
m_20 2.95 20
m_21 2.15 21
m_22 2.15 22
m_23 2.95 23
m_24 2.95 24
m_25 2.95 25
m_26 2.75 26
m_27 2.75 27
m_28 2.75 28
m_29 2.15 29
m_30 2.75 30
m_31 2.95 31
m_32 2.35 32
m_33 2.95 33
m_34 2.95 34
m_35 2.95 35
m_36 1.85 36
m_37 2.35 37
m_38 1.85 38
m_39 2.35 39
m_40 2.35 40
m_41 2.75 41
m_42 2.15 42
m_43 2.75 43
m_44 2.35 44
m_45 2.95 45
m_46 2.15 46
m_47 2.15 47
m_48 2.75 48
m_49 2.75 49
m_50 1.85 50
m_51 2.35 1
m_52 2.95 2
m_53 2.15 3
m_54 1.85 4
m_55 1.85 5
m_56 2.95 6
m_57 2.75 7
m_58 2.95 8
m_59 2.95 9
m_60 2.95 10
m_61 2.35 11
m_62 2.35 12
m_63 2.95 13
m_64 2.95 14
m_65 2.35 15
m_66 2.95 16
m_67 2.95 17
m_68 2.15 18
m_69 2.35 19
m_70 2.95 20
m_71 2.35 21
m_72 2.35 22
m_73 1.85 23
m_74 2.95 24
m_75 2.35 25
m_76 1.85 26
m_77 2.35 27
m_78 2.35 28
m_79 2.75 29
m_80 2.95 30
m_81 2.35 31
m_82 2.95 32
m_83 2.95 33
m_84 2.75 34
m_85 2.35 35
m_86 2.35 36
m_87 1.85 37
m_88 2.95 38
m_89 2.75 39
m_90 2.35 40
m_91 1.85 41
m_92 2.95 42
m_93 2.15 43
m_94 1.85 44
m_95 2.35 45
m_96 2.35 46
m_97 2.95 47
m_98 2.95 48
m_99 2.95 49
m_100 2.35 50
m_101 2.75 1
m_102 2.95 2
m_103 1.85 3
m_104 2.35 4
m_105 2.95 5
m_106 2.15 6
m_107 2.75 7
m_108 2.95 8
m_109 2.95 9
m_110 1.85 10
m_111 2.95 11
m_112 2.15 12
m_113 2.35 13
m_114 2.95 14
m_115 2.35 15
m_116 2.35 16
m_117 2.95 17
m_118 2.95 18
m_119 2.95 19
m_120 2.95 20
m_121 2.35 21
m_122 1.85 22
m_123 2.75 23
m_124 2.35 24
m_125 1.85 25
m_126 2.15 26
m_127 1.85 27
m_128 1.85 28
m_129 2.35 29
m_130 2.95 30
m_131 2.75 31
m_132 2.95 32
m_133 2.95 33
m_134 2.95 34
m_135 2.95 35
m_136 2.75 36
m_137 2.95 37
m_138 2.15 38
m_139 2.95 39
m_140 2.95 40
m_141 2.95 41
m_142 2.95 42
m_143 2.95 43
m_144 2.95 44
m_145 2.15 45
m_146 2.95 46
m_147 2.95 47
m_148 2.15 48
m_149 2.15 49
m_150 2.95 50
m_151 2.35 1
m_152 2.15 2
m_153 2.35 3
m_154 2.35 4
m_155 2.95 5
m_156 2.35 6
m_157 2.95 7
m_158 2.15 8
m_159 2.95 9
m_160 2.95 10
m_161 2.35 11
m_162 2.95 12
m_163 1.85 13
m_164 2.75 14
m_165 2.95 15
m_166 1.85 16
m_167 2.35 17
m_168 2.95 18
m_169 1.85 19
m_170 2.35 20
