taskId time jobId jobSize runtime user peer
    1   3092    1   30  1190   1 24
    2   3092    1   30  1616   1 24
    3   3092    1   30  2015   1 24
    4   3092    1   30  3299   1 24
    5   3092    1   30  2227   1 24
    6   3092    1   30   265   1 24
    7   3092    1   30   304   1 24
    8   3092    1   30   979   1 24
    9   3092    1   30   792   1 24
   10   3092    1   30  1667   1 24
   11   3092    1   30  2499   1 24
   12   3092    1   30   817   1 24
   13   3092    1   30   502   1 24
   14   3092    1   30  3139   1 24
   15   3092    1   30  4609   1 24
   16   3092    1   30  1420   1 24
   17   3092    1   30   940   1 24
   18   3092    1   30   302   1 24
   19   3092    1   30   531   1 24
   20   3092    1   30  1687   1 24
   21   3092    1   30   789   1 24
   22   3092    1   30  1859   1 24
   23   3092    1   30  1316   1 24
   24   3092    1   30   395   1 24
   25   3092    1   30  2714   1 24
   26   3092    1   30   929   1 24
   27   3092    1   30  6627   1 24
   28   3092    1   30   865   1 24
   29   3092    1   30   189   1 24
   30   3092    1   30  2684   1 24
   31   3263    2    2  3175   1 24
   32   3263    2    2  1543   1 24
   33   4203    3  107  1320   5 27
   34   4203    3  107  2649   5 27
   35   4203    3  107  2445   5 27
   36   4203    3  107   927   5 27
   37   4203    3  107  1004   5 27
   38   4203    3  107  1860   5 27
   39   4203    3  107  1145   5 27
   40   4203    3  107  6268   5 27
   41   4203    3  107  2536   5 27
   42   4203    3  107  1943   5 27
   43   4203    3  107  3856   5 27
   44   4203    3  107   959   5 27
   45   4203    3  107  2841   5 27
   46   4203    3  107  1191   5 27
   47   4203    3  107  4984   5 27
   48   4203    3  107  3603   5 27
   49   4203    3  107  1304   5 27
   50   4203    3  107  2681   5 27
   51   4203    3  107  2948   5 27
   52   4203    3  107   298   5 27
   53   4203    3  107   848   5 27
   54   4203    3  107  3394   5 27
   55   4203    3  107  2555   5 27
   56   4203    3  107  1570   5 27
   57   4203    3  107   843   5 27
   58   4203    3  107  1253   5 27
   59   4203    3  107  1124   5 27
   60   4203    3  107   760   5 27
   61   4203    3  107  1523   5 27
   62   4203    3  107   789   5 27
   63   4203    3  107   689   5 27
   64   4203    3  107  4791   5 27
   65   4203    3  107  1591   5 27
   66   4203    3  107  2468   5 27
   67   4203    3  107   754   5 27
   68   4203    3  107  1859   5 27
   69   4203    3  107  3426   5 27
   70   4203    3  107   328   5 27
   71   4203    3  107   534   5 27
   72   4203    3  107   950   5 27
   73   4203    3  107   943   5 27
   74   4203    3  107   763   5 27
   75   4203    3  107  1177   5 27
   76   4203    3  107  4014   5 27
   77   4203    3  107  1258   5 27
   78   4203    3  107   968   5 27
   79   4203    3  107  2272   5 27
   80   4203    3  107   876   5 27
   81   4203    3  107  2483   5 27
   82   4203    3  107  2437   5 27
   83   4203    3  107  3890   5 27
   84   4203    3  107  1632   5 27
   85   4203    3  107  1491   5 27
   86   4203    3  107  2543   5 27
   87   4203    3  107  2561   5 27
   88   4203    3  107  1235   5 27
   89   4203    3  107  6253   5 27
   90   4203    3  107  6135   5 27
   91   4203    3  107   582   5 27
   92   4203    3  107  2472   5 27
   93   4203    3  107  1788   5 27
   94   4203    3  107  1966   5 27
   95   4203    3  107   695   5 27
   96   4203    3  107   155   5 27
   97   4203    3  107   646   5 27
   98   4203    3  107  1754   5 27
   99   4203    3  107  1773   5 27
  100   4203    3  107  1948   5 27
  101   4203    3  107  1632   5 27
  102   4203    3  107  3323   5 27
  103   4203    3  107  1203   5 27
  104   4203    3  107   893   5 27
  105   4203    3  107   596   5 27
  106   4203    3  107  3341   5 27
  107   4203    3  107  3514   5 27
  108   4203    3  107  1279   5 27
  109   4203    3  107  2011   5 27
  110   4203    3  107  1521   5 27
  111   4203    3  107  1483   5 27
